DEPTH_WMSF	HCGR
198.7296	18.2198
198.882	19.7315
199.0344	20.2278
199.1868	20.9255
199.3392	21.2801
199.4916	25.6753
199.644	24.9295
199.7964	21.8635
199.9488	22.8475
200.1012	26.182
200.2536	29.0219
200.406	29.7244
200.5584	29.8735
200.7108	27.535
200.8632	29.7036
201.0156	28.9075
201.168	27.743
201.3204	26.753
201.4728	28.3958
201.6252	29.3219
201.7776	31.1598
201.93	31.4853
202.0824	29.6092
202.2348	26.9588
202.3872	25.6854
202.5396	24.4636
202.692	24.0922
202.8444	25.4131
202.9968	24.5929
203.1492	24.2002
203.3016	23.2498
203.454	21.0445
203.6064	19.1774
203.7588	20.0224
203.9112	22.8274
204.0636	27.7695
204.216	30.5924
204.3684	32.8439
204.5208	29.4111
204.6732	27.2602
204.8256	26.7095
204.978	24.052
205.1304	23.8837
205.2828	24.4581
205.4352	25.8288
205.5876	23.3156
205.74	21.7978
205.8924	20.4361
206.0448	18.5526
206.1972	19.0726
206.3496	19.315
206.502	20.5285
206.6544	22.7473
206.8068	21.4361
206.9592	23.9953
207.1116	22.4935
207.264	22.4682
207.4164	19.1624
207.5688	18.0425
207.7212	17.0564
207.8736	17.7976
208.026	18.8548
208.1784	18.4165
208.3308	18.9331
208.4832	21.4691
208.6356	20.9722
208.788	21.6827
208.9404	20.4506
209.0928	21.419
209.2452	21.3358
209.3976	20.0456
209.55	18.3113
209.7024	17.7144
209.8548	19.3416
210.0072	20.105
210.1596	21.2767
210.312	20.8764
210.4644	21.0548
210.6168	20.6143
210.7692	21.8138
210.9216	22.0958
211.074	22.5013
211.2264	23.8875
211.3788	23.4125
211.5312	23.6025
211.6836	21.4184
211.836	20.2609
211.9884	21.428
212.1408	22.0846
212.2932	22.0307
212.4456	22.6808
212.598	23.6894
212.7504	23.2322
212.9028	23.2344
213.0552	22.5223
213.2076	21.126
213.36	21.5675
213.5124	22.8511
213.6648	20.7463
213.8172	22.1211
213.9696	24.3264
214.122	25.3459
214.2744	24.5529
214.4268	25.3185
214.5792	26.3584
214.7316	28.5493
214.884	32.4656
215.0364	36.5647
215.1888	39.3471
215.3412	42.0838
215.4936	41.0613
215.646	41.1303
215.7984	39.6361
215.9508	40.4709
216.1032	36.075
216.2556	34.225
216.408	35.0563
216.5604	36.1683
216.7128	34.6285
216.8652	29.9939
217.0176	28.9763
217.17	27.2582
217.3224	28.2472
217.4748	25.7293
217.6272	25.0339
217.7796	25.2586
217.932	24.3654
218.0844	22.4892
218.2368	20.6456
218.3892	20.8619
