metres,GR
297.18,13.2558
297.3324,13.3239
297.4848,11.9972
297.6372,11.7435
297.7896,12.6609
297.942,13.933
298.0944,14.6774
298.2468,14.4753
298.3992,14.1127
298.5516,13.5281
298.704,12.8503
298.8564,12.5928
299.0088,13.3877
299.1612,12.8924
299.3136,12.252
299.466,12.4322
299.6184,12.1868
299.7708,11.4279
299.9232,11.7819
300.0756,13.4889
300.228,13.2924
300.3804,12.9482
300.5328,13.2283
300.6852,12.7283
300.8376,11.5862
300.99,10.6914
301.1424,11.7999
301.2948,12.951
301.4472,12.3955
301.5996,12.4022
301.752,13.5785
301.9044,13.9358
302.0568,13.9678
302.2092,13.901
302.3616,13.7439
302.514,13.4264
302.6664,12.2786
302.8188,11.0973
302.9712,10.6608
303.1236,12.0667
303.276,12.0463
303.4284,10.8318
