DEPTH	Depth (m)	Depth bsf	Caliper	Bulk Density Correction	Sonic	Gamma Ray	IL-Deep Resistivity	Latero-Log Deep	Latero-Log Shallow	MSFL Resistivity	Neutron Porosity	Photo Electric Factor	Bulk Density	Spherical Focusing Log	Spontaneous Potential
9317	2839.8216	2715.8216	13.7544	0.0169	89.5923	138.6879	-999.25	2.6297	2.0236	2.0991	28.1913	2.2807	2.4242	-999.25	52.0715
9317.5	2839.974	2715.974	13.7347	0.0181	92.2574	134.4561	-999.25	2.5676	2.0046	0.2664	29.4477	2.2957	2.4286	-999.25	53.1981
9318	2840.1264	2716.1264	13.7189	0.0138	94.4315	129.8546	-999.25	2.5127	1.9397	0.1962	29.9229	2.2571	2.4572	-999.25	54.5265
9318.5	2840.2788	2716.2788	13.7092	0.0076	93.9207	125.4923	-999.25	2.4891	1.9164	0.2721	29.2638	2.1802	2.5455	-999.25	55.6223
9319	2840.4312	2716.4312	13.7094	0.0012	90.1903	121.419	-999.25	2.5689	1.9889	2.7618	27.823	2.0861	2.5864	-999.25	55.9064
9319.5	2840.5836	2716.5836	13.7161	-0.0043	87.1793	117.8743	-999.25	2.7264	2.0555	3.6845	26.3152	1.9869	2.5998	-999.25	55.7734
9320	2840.736	2716.736	13.7285	-0.0078	87.3543	115.1861	-999.25	2.7872	2.0689	3.9377	25.4481	1.9095	2.6002	-999.25	55.3177
9320.5	2840.8884	2716.8884	13.7472	-0.0065	89.0681	113.476	-999.25	2.8185	2.094	3.9786	25.2316	1.8437	2.5927	-999.25	54.9588
9321	2841.0408	2717.0408	13.7562	-0.0036	90.5322	112.5747	-999.25	2.9208	2.1536	3.2934	24.963	1.7986	2.5867	-999.25	54.6287
9321.5	2841.1932	2717.1932	13.7624	-0.003	89.9138	112.6652	-999.25	3.0884	2.2483	3.0437	24.6405	1.7727	2.5856	-999.25	54.3517
9322	2841.3456	2717.3456	13.7654	-0.0052	86.6076	113.9893	-999.25	3.287	2.36	3.0214	24.6285	1.7607	2.5884	-999.25	54.1536
9322.5	2841.498	2717.498	13.761	-0.0071	83.3381	116.2033	-999.25	3.4737	2.4859	3.4676	24.4743	1.7845	2.5883	-999.25	54.0316
9323	2841.6504	2717.6504	13.7548	-0.008	81.787	118.5731	-999.25	3.658	2.6073	4.1975	23.9484	1.8491	2.5858	-999.25	54.1413
9323.5	2841.8028	2717.8028	13.747	-0.0085	81.0344	120.5912	-999.25	3.8189	2.7188	4.4011	23.6038	1.8724	2.5859	-999.25	54.1805
9324	2841.9552	2717.9552	13.7418	-0.0088	80.6168	121.9272	-999.25	3.9336	2.8075	4.6045	23.8285	1.8261	2.5897	-999.25	53.9987
9324.5	2842.1076	2718.1076	13.7365	-0.0094	80.3911	122.219	-999.25	4.0177	2.8589	5.2766	24.3667	1.8044	2.5942	-999.25	53.6688
9325	2842.26	2718.26	13.7297	-0.0103	80.5989	121.0179	-999.25	3.9846	2.8819	5.3531	24.9228	1.8977	2.5964	-999.25	53.3439
9325.5	2842.4124	2718.4124	13.7257	-0.0077	81.3368	118.2813	-999.25	3.8638	2.7687	5.7107	25.0667	1.963	2.5936	-999.25	53.5451
9326	2842.5648	2718.5648	13.7267	-0.0006	82.3449	114.4458	-999.25	3.5925	2.5367	5.5543	24.6753	1.9236	2.5883	-999.25	53.8481
9326.5	2842.7172	2718.7172	13.7279	0.0049	83.3394	110.3176	-999.25	3.3631	2.4095	4.9572	24.2947	1.782	2.583	-999.25	54.0073
9327	2842.8696	2718.8696	13.7316	0.0073	84.021	107.2837	-999.25	3.2242	2.372	4.8346	24.2157	1.6904	2.5823	-999.25	54.0314
9327.5	2843.022	2719.022	13.7354	0.0068	84.1968	106.1357	-999.25	3.2134	2.3653	4.5971	24.1141	1.6652	2.5868	-999.25	53.9245
9328	2843.1744	2719.1744	13.7373	0.0041	83.8908	105.8155	-999.25	3.2673	2.3884	3.7521	23.4591	1.7012	2.5898	-999.25	53.8356
9328.5	2843.3268	2719.3268	13.738	0.001	83.2965	104.3552	-999.25	3.3591	2.4571	3.6822	22.8818	1.7853	2.5881	-999.25	53.764
9329	2843.4792	2719.4792	13.7394	-0.002	82.6284	101.6485	-999.25	3.4747	2.5702	3.5883	22.8769	2.0054	2.5854	-999.25	53.7334
9329.5	2843.6316	2719.6316	13.7453	-0.0043	82.0601	99.8038	-999.25	3.6356	2.7104	4.0026	23.9349	2.36	2.5891	-999.25	53.6739
9330	2843.784	2719.784	13.7513	-0.0047	81.7606	99.7587	-999.25	3.8183	2.825	4.3885	25.1965	2.813	2.6154	-999.25	53.7813
9330.5	2843.9364	2719.9364	13.7528	-0.0024	81.6604	101.1282	-999.25	3.9857	2.9374	4.4286	26.0351	2.8706	2.6895	-999.25	54.1371
9331	2844.0888	2720.0888	13.7532	0.0023	81.5393	103.6235	-999.25	4.1444	3.0465	4.2944	26.234	2.6207	2.73	-999.25	54.6939
9331.5	2844.2412	2720.2412	13.7528	0.0071	81.2287	107.1864	-999.25	4.2823	3.1352	5.5022	25.4916	2.2817	2.7333	-999.25	55.3715
9332	2844.3936	2720.3936	13.7468	0.0088	80.7098	110.9938	-999.25	4.3506	3.2234	5.4772	23.2508	1.9902	2.6905	-999.25	56.0418
9332.5	2844.546	2720.546	13.7409	0.0042	80.1844	114.2944	-999.25	4.3847	3.3116	4.881	21.4751	1.7685	2.6631	-999.25	56.5122
9333	2844.6984	2720.6984	13.7365	-0.0021	79.8395	116.2781	-999.25	4.382	3.3726	4.916	20.7009	1.683	2.6384	-999.25	56.6578
9333.5	2844.8508	2720.8508	13.7325	-0.0084	79.7829	116.5088	-999.25	4.3207	3.4051	6.2268	20.5997	1.725	2.6168	-999.25	56.6403
9334	2845.0032	2721.0032	13.7282	-0.0142	80.0289	115.7436	-999.25	4.2375	3.3792	6.2983	21.0353	1.7436	2.599	-999.25	56.3331
9334.5	2845.1556	2721.1556	13.7226	-0.019	80.2987	115.3199	-999.25	4.1266	3.2932	5.9677	21.6002	1.7387	2.5852	-999.25	56.081
9335	2845.308	2721.308	13.717	-0.0227	80.3446	116.2897	-999.25	4.0474	3.208	5.5734	21.8482	1.762	2.5739	-999.25	56.2305
9335.5	2845.4604	2721.4604	13.7103	-0.0244	80.2627	118.4808	-999.25	4.0401	3.1836	4.6389	21.9038	1.8372	2.5669	-999.25	56.7092
9336	2845.6128	2721.6128	13.7029	-0.0205	80.2674	120.2709	-999.25	4.1225	3.2519	4.3953	22.8827	1.9533	2.5639	-999.25	57.1887
9336.5	2845.7652	2721.7652	13.6959	-0.0138	80.5282	120.9703	-999.25	4.181	3.303	4.929	24.3878	2.0295	2.5741	-999.25	57.2951
9337	2845.9176	2721.9176	13.6917	-0.0083	81.0608	120.1777	-999.25	4.0774	3.2605	4.6834	25.6558	2.0003	2.5885	-999.25	57.0918
9337.5	2846.07	2722.07	13.6875	-0.0052	81.5718	116.4562	-999.25	3.9602	3.1745	5.0104	26.1994	1.8891	2.5954	-999.25	56.7765
9338	2846.2224	2722.2224	13.6857	-0.0075	81.843	109.7437	-999.25	3.9042	3.1979	4.9234	26.1531	1.754	2.5885	-999.25	56.8124
9338.5	2846.3748	2722.3748	13.6846	-0.0072	82.0055	102.036	-999.25	3.9832	3.2724	4.7786	25.674	1.6311	2.5707	-999.25	57.1893
9339	2846.5272	2722.5272	13.684	-0.0041	82.2676	95.1257	-999.25	4.1921	3.3975	4.7625	25.0057	1.576	2.5462	-999.25	57.7036
9339.5	2846.6796	2722.6796	13.6902	-0.0014	82.5614	91.5333	-999.25	4.4809	3.572	4.9384	24.3681	1.6512	2.5233	-999.25	58.1028
9340	2846.832	2722.832	13.6964	-0.0032	82.5459	91.8731	-999.25	4.8605	3.7513	4.6492	23.8385	1.7339	2.5004	-999.25	57.9592
9340.5	2846.9844	2722.9844	13.7015	-0.008	82.2094	95.6321	-999.25	5.3276	3.9651	3.1209	22.3123	1.812	2.4817	-999.25	57.8986
9341	2847.1368	2723.1368	13.7048	-0.0116	81.9977	99.9966	-999.25	5.6359	4.2084	2.7759	20.103	1.8529	2.4691	-999.25	58.3461
